Date,Track,Race,Field,Top Pick,Bet Type,Selection,Units,Composite,GEM,Confidence,Pace,Win%,Place%,Value,Result,Notes,actual_result,actual_pl,win_bet_pl,place_bet_pl,show_bet_pl,combined_straight_pl
2026-04-12,GPX,6,7,VELOCIRAPTOR,TRIFECTA_BOX,VELOCIRAPTOR / SEND CASH / KORRONGO,0.5,19,YES,MEDIUM,MIXED,37.4%,59.3%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R6 | SCORE=19 | CONF=MEDIUM | PACE=MIXED | GEM=YES,MISS,-0.5,-1.0,1.3,0.5,0.8
2026-04-12,GPX,6,7,VELOCIRAPTOR,SUPERFECTA_BOX,VELOCIRAPTOR / SEND CASH / KORRONGO / SWEET INTERLUDE,0.5,19,YES,MEDIUM,MIXED,37.4%,59.3%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R6 | SCORE=19 | CONF=MEDIUM | PACE=MIXED | GEM=YES,MISS,-0.5,-1.0,1.3,0.5,0.8
2026-04-12,GPX,8,7,SWASHBUCKLE,WIN,SWASHBUCKLE,0.5,17,NO,MEDIUM,SLOW,29.0%,51.8%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R8 | SCORE=17 | CONF=MEDIUM | PACE=SLOW | GEM=NO,LOSS,-0.5,-1.0,2.0,1.0,2.0
2026-04-12,GPX,8,7,SWASHBUCKLE,PLACE,SWASHBUCKLE,0.5,17,NO,MEDIUM,SLOW,29.0%,51.8%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R8 | SCORE=17 | CONF=MEDIUM | PACE=SLOW | GEM=NO,WIN,1.0,-1.0,2.0,1.0,2.0
2026-04-12,GPX,8,7,SWASHBUCKLE,SHOW,SWASHBUCKLE,0.5,17,NO,MEDIUM,SLOW,29.0%,51.8%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R8 | SCORE=17 | CONF=MEDIUM | PACE=SLOW | GEM=NO,WIN,0.5,-1.0,2.0,1.0,2.0
2026-04-12,GPX,8,7,SWASHBUCKLE,EXACTA_BOX,SWASHBUCKLE / TO THE EASTSIDE,0.25,17,NO,MEDIUM,SLOW,29.0%,51.8%,STRONG_EV,HIT,STRESS_TEST ARM2026 GPX R8 | SCORE=17 | CONF=MEDIUM | PACE=SLOW | GEM=NO,HIT,PAYOUT_UNKNOWN,-1.0,2.0,1.0,2.0
2026-04-12,GPX,8,7,SWASHBUCKLE,TRIFECTA_BOX,SWASHBUCKLE / TO THE EASTSIDE / DUNE ROAD,0.25,17,NO,MEDIUM,SLOW,29.0%,51.8%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R8 | SCORE=17 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,2.0,1.0,2.0
2026-04-12,GPX,8,7,SWASHBUCKLE,SUPERFECTA_BOX,SWASHBUCKLE / TO THE EASTSIDE / DUNE ROAD / DAI VERNON,0.25,17,NO,MEDIUM,SLOW,29.0%,51.8%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R8 | SCORE=17 | CONF=MEDIUM | PACE=SLOW | GEM=NO,MISS,-0.25,-1.0,2.0,1.0,2.0
2026-04-12,GPX,9,11,RULES FOR THREE,WIN,RULES FOR THREE,1.0,18,YES,MEDIUM,SLOW,27.9%,45.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R9 | SCORE=18 | CONF=MEDIUM | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,9,11,RULES FOR THREE,PLACE,RULES FOR THREE,1.0,18,YES,MEDIUM,SLOW,27.9%,45.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R9 | SCORE=18 | CONF=MEDIUM | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,9,11,RULES FOR THREE,SHOW,RULES FOR THREE,1.0,18,YES,MEDIUM,SLOW,27.9%,45.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R9 | SCORE=18 | CONF=MEDIUM | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,9,11,RULES FOR THREE,EXACTA_BOX,RULES FOR THREE / MUSICAL POWER,0.5,18,YES,MEDIUM,SLOW,27.9%,45.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R9 | SCORE=18 | CONF=MEDIUM | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
2026-04-12,GPX,9,11,RULES FOR THREE,TRIFECTA_BOX,RULES FOR THREE / MUSICAL POWER / MIMI WILLY,0.5,18,YES,MEDIUM,SLOW,27.9%,45.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R9 | SCORE=18 | CONF=MEDIUM | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,-1.0,-1.0,-3.0
